timestamp,station_id,station_name,latitude,longitude,temperature,humidity,pressure,wind_speed,wind_direction,hour,day,month,day_of_week,day_of_year,time_period,temperature_rolling_mean_24h,temperature_rolling_std_24h,temperature_deviation_24h,temperature_zscore_24h,pressure_rolling_mean_24h,pressure_rolling_std_24h,pressure_deviation_24h,pressure_zscore_24h,humidity_rolling_mean_24h,humidity_rolling_std_24h,humidity_deviation_24h,humidity_zscore_24h,original_temperature,original_pressure,original_humidity,is_anomaly,fault_type,fault_severity,statistical_anomaly,temporal_anomaly,temporal_score,isolation_anomaly,ml_anomaly_score,satark_score,satark_prediction,severity,reason
2025-05-26 18:00:00,42131,Hissar,29.1667,75.7333,29.8,63.0,1000.6,8.6,118.0,18,26,5,0,146,Evening,30.7875,4.283264957442152,-0.9874999999999972,-0.2305484273822988,1001.7958333333336,2.691933064376967,-1.1958333333334394,-0.4442284799567289,59.25,16.203193458725035,3.75,0.2314358592059341,29.8,1000.6,63.0,0,normal,none,0,0,0.07403807999278815,0,0.08045841708739461,0.07789028224955202,0,Normal,No significant anomaly detected
2025-05-26 19:00:00,42131,Hissar,29.1667,75.7333,29.5,62.0,1000.7,9.7,124.0,19,26,5,0,146,Evening,30.929166666666664,4.18698596239289,-1.4291666666666636,-0.3413354330545415,1001.6416666666664,2.647873086829106,-0.9416666666664923,-0.3556313447764831,58.79166666666666,15.92094373067635,3.208333333333336,0.2015165298996405,29.5,1000.7,62.0,0,normal,none,0,0,0.05927189079608052,0,0.08189440123610071,0.07284539706009263,0,Normal,No significant anomaly detected
2025-05-26 20:00:00,42131,Hissar,29.1667,75.7333,28.5,59.0,1000.0,9.7,125.0,20,26,5,0,146,Evening,31.07083333333333,4.072439624199895,-2.5708333333333293,-0.6312759845613222,1001.4958333333332,2.5967335947711696,-1.4958333333332805,-0.5760442027419823,58.16666666666666,15.462905589680188,0.8333333333333357,0.0538924155295558,28.5,1000.0,59.0,0,normal,none,0,0,0.10521266409355369,0,0.12498398444431584,0.11707545630401098,0,Normal,No significant anomaly detected
2025-05-26 21:00:00,42131,Hissar,29.1667,75.7333,28.2,61.0,999.9,10.4,123.0,21,26,5,0,146,Night,31.183333333333334,3.9561363086670034,-2.9833333333333343,-0.7541027660744457,1001.3375,2.56579718942944,-1.4375,-0.5602547254795532,57.375,14.878676016366528,3.625,0.2436372696073564,28.2,999.9,61.0,0,normal,none,0,0,0.12568379434574095,0,0.11392055798442087,0.1186258525289489,0,Normal,No significant anomaly detected
2025-05-26 22:00:00,42131,Hissar,29.1667,75.7333,27.8,63.0,1000.1,10.4,118.0,22,26,5,0,146,Night,31.2875,3.8365873082614463,-3.487499999999997,-0.9090109828832128,1001.175,2.526253455540465,-1.0750000000000457,-0.4255313328290176,56.625,14.178405196390887,6.375,0.4496274377616712,27.8,1000.1,63.0,0,normal,none,0,0,0.15150183048053548,0,0.11430606292776992,0.12918436994887614,0,Normal,No significant anomaly detected
2025-05-26 23:00:00,42131,Hissar,29.1667,75.7333,27.3,66.0,1000.4,9.0,117.0,23,26,5,0,146,Night,31.375,3.725966463477133,-4.074999999999999,-1.093675973722303,1001.0291666666668,2.4807921537352544,-0.6291666666667197,-0.2536152275874471,55.958333333333336,13.437388354777212,10.041666666666664,0.7472930305758921,27.3,1000.4,66.0,0,normal,none,0,0,0.18227932895371715,0,0.11174381674747287,0.1399580216299706,0,Normal,No significant anomaly detected
2025-05-27 00:00:00,42131,Hissar,29.1667,75.7333,26.7,70.0,1000.9,6.8,105.0,0,27,5,1,147,Night,31.441666666666663,3.6331704524054,-4.741666666666667,-1.3051043788841148,1000.9,2.426663481420952,-1.1368683772161605e-13,-4.6849033082677717e-14,55.41666666666666,12.710545661555749,14.583333333333336,1.1473412488845396,26.7,1000.9,70.0,0,normal,none,0,0,0.2175173964806858,0,0.09749179045012853,0.14550203286235144,0,Normal,No significant anomaly detected
2025-05-27 01:00:00,42131,Hissar,29.1667,75.7333,27.4,69.0,1001.3,8.6,90.0,1,27,5,1,147,Night,31.5,3.540326685982247,-4.100000000000001,-1.1580852174557097,1000.7708333333334,2.33526446999357,0.5291666666665833,0.2265981748388611,54.91666666666666,11.82450170534518,14.083333333333336,1.1910297519739936,27.4,1001.3,69.0,0,normal,none,0,0,0.19850495866233228,0,0.08584526037156166,0.1309091396878699,0,Normal,No significant anomaly detected
2025-05-27 02:00:00,42131,Hissar,29.1667,75.7333,29.1,64.0,1001.3,8.3,97.0,2,27,5,1,147,Night,31.558333333333337,3.456300694782415,-2.458333333333336,-0.7112614180370367,1000.6375,2.2005557598159937,0.6625000000000227,0.3010603103533353,54.5,11.092496484600323,9.5,0.8564347992527036,29.1,1001.3,64.0,0,normal,none,0,0,0.14273913320878392,0,0.0657655664482897,0.09655499315248739,0,Normal,No significant anomaly detected
2025-05-27 03:00:00,42131,Hissar,29.1667,75.7333,31.1,58.0,1001.3,9.7,107.0,3,27,5,1,147,Night,31.629166666666663,3.384039156761124,-0.5291666666666615,-0.1563713190520906,1000.5,2.03939462455568,0.7999999999999545,0.3922732708851038,54.208333333333336,10.725747837175163,3.791666666666664,0.3535107037967875,31.1,1001.3,58.0,0,normal,none,0,0,0.06537887848085062,0,0.0961108700054697,0.08381807339562207,0,Normal,No significant anomaly detected
