timestamp,station_id,station_name,latitude,longitude,temperature,humidity,pressure,wind_speed,wind_direction,hour,day,month,day_of_week,day_of_year,time_period,temperature_rolling_mean_24h,temperature_rolling_std_24h,temperature_deviation_24h,temperature_zscore_24h,pressure_rolling_mean_24h,pressure_rolling_std_24h,pressure_deviation_24h,pressure_zscore_24h,humidity_rolling_mean_24h,humidity_rolling_std_24h,humidity_deviation_24h,humidity_zscore_24h
2025-01-01 00:00:00,42131,Hissar,29.1667,75.7333,5.4,97.0,1020.7,0.0,0.0,0,1,1,2,1,Night,,,,,,,,,,,,
2025-01-01 01:00:00,42131,Hissar,29.1667,75.7333,6.1,98.0,1019.5,5.0,283.0,1,1,1,2,1,Night,,,,,,,,,,,,
2025-01-01 02:00:00,42131,Hissar,29.1667,75.7333,6.1,94.0,1019.8,5.4,274.0,2,1,1,2,1,Night,,,,,,,,,,,,
2025-01-01 03:00:00,42131,Hissar,29.1667,75.7333,8.0,97.0,1021.5,0.0,0.0,3,1,1,2,1,Night,5.866666666666667,0.40414518843273767,2.133333333333333,5.278631032590868,1020.0,0.6244997998398726,1.5,2.401922307076181,96.33333333333333,2.081665999466131,0.6666666666666714,0.3202563076101768
2025-01-01 04:00:00,42131,Hissar,29.1667,75.7333,7.6,96.0,1020.8,6.8,276.0,4,1,1,2,1,Night,6.4,1.1165422816296153,1.1999999999999993,1.074746581247757,1020.375,0.9069178573608678,0.4249999999999545,0.46862016945691765,96.5,1.7320508075688759,-0.5,-0.28867513459481314
2025-01-01 05:00:00,42131,Hissar,29.1667,75.7333,9.8,94.0,1021.0,6.5,292.0,5,1,1,2,1,Morning,6.640000000000001,1.1058933040759404,3.16,2.8574185125756095,1020.46,0.8080841540334818,0.5399999999999636,0.6682472330444801,96.4,1.5165750888103091,-2.4000000000000057,-1.5825131361498936
2025-01-01 06:00:00,42131,Hissar,29.1667,75.7333,10.0,92.0,1022.1,3.6,320.0,6,1,1,2,1,Morning,7.166666666666667,1.6256280837469155,2.833333333333333,1.7429160837347086,1020.5500000000001,0.7556454194924995,1.5499999999999545,2.0512266203386145,96.0,1.6733200530681511,-4.0,-2.390457218668787
2025-01-01 07:00:00,42131,Hissar,29.1667,75.7333,14.9,72.0,1019.7,6.8,289.0,7,1,1,2,1,Morning,7.571428571428571,1.8300403326286612,7.328571428571429,4.004595580713079,1020.7714285714285,0.9050124966251039,-1.0714285714284415,-1.1838826263989972,95.42857142857143,2.14919697074224,-23.42857142857143,-10.901081542321462
2025-01-01 08:00:00,42131,Hissar,29.1667,75.7333,16.3,65.0,1018.4,7.9,291.0,8,1,1,2,1,Morning,8.4875,3.095820915824613,7.8125,2.523563284964446,1020.6375,0.9195301595302348,-2.237500000000068,-2.433307898397973,92.5,8.518886580500329,-27.5,-3.2281213912328997
2025-01-01 09:00:00,42131,Hissar,29.1667,75.7333,11.8,81.0,1019.1,3.6,320.0,9,1,1,2,1,Morning,9.355555555555556,3.8945831327342058,2.4444444444444446,0.6276523985067213,1020.3888888888889,1.1384687571958785,-1.2888888888888914,-1.132124953576686,89.44444444444444,12.146101340668032,-8.444444444444443,-0.6952390901079046
2025-01-01 10:00:00,42131,Hissar,29.1667,75.7333,17.1,63.0,1017.2,9.4,296.0,10,1,1,2,1,Morning,9.6,3.752332607858744,7.500000000000002,1.9987567158338482,1020.26,1.1481385901633274,-3.0599999999999454,-2.665183477165982,88.6,11.758684733704984,-25.599999999999994,-2.1771142419203056
2025-01-01 11:00:00,42131,Hissar,29.1667,75.7333,16.4,67.0,1017.1,7.6,299.0,11,1,1,2,1,Morning,10.281818181818183,4.21730202423734,6.1181818181818155,1.4507336166629496,1019.9818181818181,1.4274580076612935,-2.881818181818062,-2.018846205178078,86.27272727272727,13.565330140405052,-19.272727272727266,-1.4207341121262085
2025-01-01 12:00:00,42131,Hissar,29.1667,75.7333,11.2,90.0,1018.6,3.6,270.0,12,1,1,2,1,Afternoon,10.791666666666666,4.391822635376577,0.4083333333333332,0.09297582512649004,1019.7416666666667,1.5951393973473535,-1.1416666666666515,-0.7157159233639347,84.66666666666667,14.079858814719138,5.333333333333329,0.37879167706979006
